trade_date,open,high,low,close,volume,openinterest
2000-07-25,6.4549,6.4825,6.1791,6.1948,7250.0,0.0
2000-07-26,6.2067,6.3052,6.1869,6.2303,5204.0,0.0
2000-07-27,6.2461,6.4155,6.2185,6.3209,5652.0,0.0
2000-07-28,6.384,6.384,6.2264,6.3012,6813.0,0.0
2000-07-31,6.3052,6.3761,6.1672,6.2185,5364.0,0.0
2000-08-01,6.2382,6.3012,6.1475,6.2776,4674.0,0.0
2000-08-02,6.3012,6.4825,6.2461,6.4786,4743.0,0.0
2000-08-03,6.4549,6.5298,6.3997,6.451,3746.0,0.0
2000-08-04,6.4431,6.4628,6.2658,6.3367,3214.0,0.0
2000-08-07,6.2973,6.3682,6.2579,6.2933,2561.0,0.0
2000-08-08,6.3052,6.3328,6.2579,6.3288,2482.0,0.0
2000-08-09,6.3288,6.4037,6.2618,6.3682,3481.0,0.0
2000-08-10,6.5022,6.5022,6.3328,6.4076,2254.0,0.0
2000-08-11,6.4628,6.4628,6.3052,6.3406,3466.0,0.0
2000-08-14,6.3446,6.3525,6.3012,6.3091,3717.0,0.0
2000-08-15,6.313,6.3643,6.3052,6.3446,3073.0,0.0
2000-08-16,6.3525,6.4234,6.3367,6.3446,1786.0,0.0
2000-08-17,6.3485,6.3485,6.3052,6.3091,2084.0,0.0
2000-08-18,6.3091,6.4037,6.2658,6.3643,5161.0,0.0
2000-08-21,6.4037,6.4037,6.2855,6.3091,3375.0,0.0
2000-08-22,6.3091,6.3091,6.2264,6.2303,4309.0,0.0
2000-08-23,6.2264,6.2342,5.8362,6.1278,6587.0,0.0
2000-08-25,6.2658,6.3052,6.1475,6.2067,1810.0,0.0
2000-08-28,6.1869,6.2618,6.1278,6.1515,2965.0,0.0
2000-08-29,6.1475,6.2658,6.1278,6.1869,3227.0,0.0
2000-08-30,6.1869,6.2461,6.1003,6.1239,2396.0,0.0
2000-08-31,6.1475,6.2264,6.0569,6.1633,3015.0,0.0
2000-09-01,6.1278,6.1594,5.9505,5.9584,2736.0,0.0
2000-09-04,5.9269,5.9899,5.8323,5.9426,2915.0,0.0
2000-09-05,5.9505,5.9899,5.8283,5.8362,1596.0,0.0
2000-09-06,5.8205,5.8323,5.5643,5.5643,2854.0,0.0
2000-09-07,5.5367,5.7771,5.5367,5.7062,2007.0,0.0
2000-09-08,5.7141,5.8323,5.6352,5.6668,1866.0,0.0
2000-09-11,5.6707,5.8323,5.6274,5.8047,2709.0,0.0
2000-09-12,5.7535,5.8914,5.6904,5.8559,1683.0,0.0
2000-09-13,5.8717,5.9702,5.848,5.8914,1933.0,0.0
2000-09-14,5.8717,6.0687,5.8717,6.0214,3781.0,0.0
2000-09-15,6.0254,6.1081,6.0254,6.0766,2796.0,0.0
2000-09-18,6.0805,6.1081,5.9308,5.9505,3187.0,0.0
2000-09-19,5.9111,5.9111,5.7968,5.7968,1640.0,0.0
2000-09-20,5.8126,6.0924,5.7495,6.0057,9115.0,0.0
2000-09-21,6.0096,6.0293,5.8717,5.9505,1932.0,0.0
2000-09-22,5.9899,6.0254,5.8796,5.8796,1198.0,0.0
2000-09-25,5.7535,5.8717,5.7535,5.7889,984.0,0.0
2000-09-26,5.8126,5.8677,5.7732,5.8283,721.0,0.0
2000-09-27,5.7929,5.9229,5.7929,5.919,1016.0,0.0
2000-09-28,5.8402,5.919,5.8402,5.9032,741.0,0.0
2000-09-29,5.9899,6.049,5.9505,5.9702,962.0,0.0
2000-10-09,5.9702,6.0096,5.8323,5.9781,1151.0,0.0
2000-10-10,5.982,6.1397,5.9505,6.1397,3425.0,0.0
2000-10-11,6.1475,6.3446,6.0766,6.1869,5048.0,0.0
2000-10-12,6.1869,6.3052,6.1554,6.3052,5630.0,0.0
2000-10-13,6.3485,6.384,6.2067,6.2461,2348.0,0.0
2000-10-16,6.3052,6.3643,6.1869,6.2382,2034.0,0.0
2000-10-17,6.3012,6.3052,6.1672,6.2658,1490.0,0.0
2000-10-18,6.2658,6.2855,6.1869,6.1909,2069.0,0.0
2000-10-19,6.1869,6.2264,6.0687,6.0727,2266.0,0.0
2000-10-20,6.0884,6.1436,6.0214,6.0727,1887.0,0.0
2000-10-23,6.1436,6.313,6.0766,6.3052,3142.0,0.0
2000-10-24,6.5022,6.5456,6.2697,6.3209,3954.0,0.0
2000-10-25,6.3682,6.4076,6.3052,6.3328,1965.0,0.0
2000-10-26,6.3052,6.3525,6.2697,6.2815,1679.0,0.0
2000-10-27,6.2264,6.2697,6.2224,6.2658,1062.0,0.0
2000-10-30,6.3722,6.518,6.2658,6.4746,6856.0,0.0
2000-10-31,6.4825,6.5337,6.3761,6.4392,4304.0,0.0
2000-11-01,6.4549,6.4825,6.3919,6.4746,2477.0,0.0
2000-11-02,6.4746,6.5613,6.4392,6.4589,3970.0,0.0
2000-11-03,6.4549,6.5219,6.4431,6.5022,2933.0,0.0
2000-11-06,6.5534,6.5534,6.4667,6.5022,3397.0,0.0
2000-11-07,6.5061,6.5219,6.4667,6.5022,2369.0,0.0
2000-11-08,6.4707,6.5219,6.4707,6.5061,2446.0,0.0
2000-11-09,6.514,6.581,6.5022,6.5495,3396.0,0.0
2000-11-10,6.5692,6.5692,6.4864,6.5416,4267.0,0.0
2000-11-13,6.5022,6.6007,6.4431,6.5889,4799.0,0.0
2000-11-14,6.5889,6.7386,6.5061,6.7308,6450.0,0.0
2000-11-15,6.7702,6.7781,6.6204,6.6244,6311.0,0.0
2000-11-16,6.6914,6.916,6.6598,6.8766,10468.0,0.0
2000-11-17,6.9002,6.9357,6.7781,6.8293,4632.0,0.0
2000-11-20,6.9317,6.9672,6.8175,6.9633,4820.32,0.0
2000-11-21,6.9672,7.0145,6.8175,6.8253,3735.3,0.0
2000-11-22,6.9357,6.9357,6.8372,6.9081,3134.18,0.0
2000-11-23,6.9672,7.0106,6.8884,6.9554,3692.3,0.0
2000-11-24,6.9317,6.9712,6.5928,6.648,5172.14,0.0
2000-11-27,6.6007,6.6401,6.4155,6.5377,9859.61,0.0
2000-11-28,6.5416,6.6401,6.5258,6.6401,3469.01,0.0
2000-11-29,6.6559,6.6874,6.5377,6.6007,3237.31,0.0
2000-11-30,6.6007,6.6401,6.585,6.6362,1955.48,0.0
2000-12-01,6.6362,6.8963,6.6204,6.7189,4904.93,0.0
2000-12-04,6.7308,6.8096,6.6638,6.7386,1558.0,0.0
2000-12-06,6.7781,6.7781,6.585,6.5928,2461.0,0.0
2000-12-07,6.5692,6.6204,6.5061,6.5928,3700.16,0.0
2000-12-08,6.6007,6.6559,6.581,6.6125,1564.0,0.0
2000-12-11,6.5928,6.648,6.5495,6.581,1870.82,0.0
2000-12-12,6.5495,6.6598,6.5495,6.6007,1241.01,0.0
2000-12-13,6.581,6.6559,6.581,6.6401,1153.01,0.0
2000-12-14,6.8923,6.8923,6.5968,6.6086,2232.78,0.0
2000-12-15,6.5416,6.6992,6.4549,6.4667,2542.0,0.0
2000-12-18,6.4037,6.5968,6.4037,6.5022,2460.01,0.0
2000-12-19,6.5219,6.581,6.4864,6.514,745.8,0.0
2000-12-20,6.514,6.5889,6.4786,6.5219,1306.79,0.0
2000-12-21,6.5022,6.6598,6.5022,6.518,2001.54,0.0
2000-12-22,6.5495,6.5968,6.5022,6.5377,1657.42,0.0
2000-12-25,6.5337,6.581,6.4628,6.514,1825.54,0.0
2000-12-26,6.6204,6.6204,6.5022,6.581,2403.99,0.0
2000-12-27,6.5613,6.6165,6.514,6.5416,2743.15,0.0
2000-12-28,6.5022,6.581,6.4234,6.5022,8186.8,0.0
2000-12-29,6.4943,6.5731,6.4667,6.5613,1265.7,0.0
2001-01-02,6.5613,6.7386,6.5416,6.6914,2268.7,0.0
2001-01-03,6.6992,6.8569,6.6598,6.8175,3965.77,0.0
2001-01-04,6.8569,6.916,6.6992,6.8608,3804.65,0.0
2001-01-05,6.8608,7.0145,6.8608,6.9869,5707.52,0.0
2001-01-08,7.0539,7.0736,6.845,6.849,3888.2,0.0
2001-01-09,6.8214,6.916,6.7426,6.8332,1434.7,0.0
2001-01-10,6.9554,6.9554,6.8017,6.8726,2606.8,0.0
2001-01-11,6.916,6.916,6.8411,6.8569,1738.0,0.0
2001-01-12,6.8569,6.8569,6.7426,6.7978,2194.38,0.0
2001-01-15,6.7978,6.7978,6.6795,6.7111,3015.5,0.0
2001-01-16,6.4194,6.7386,6.384,6.7386,2022.07,0.0
2001-01-17,6.7584,6.7584,6.6598,6.6638,1434.74,0.0
2001-01-18,6.6283,6.7189,6.6125,6.7071,1544.0,0.0
2001-01-19,6.6441,6.916,6.6441,6.7505,3863.92,0.0
2001-02-05,6.8253,6.8253,6.6598,6.715,2088.5,0.0
2001-02-06,6.7189,6.7189,6.581,6.6953,1419.58,0.0
2001-02-07,6.6047,6.715,6.585,6.6914,2140.0,0.0
2001-02-08,6.6953,6.7111,6.5968,6.6165,2433.8,0.0
2001-02-09,6.6007,6.7189,6.6007,6.6559,5151.78,0.0
2001-02-12,6.6125,6.6401,6.5889,6.6165,2538.24,0.0
2001-02-13,6.5889,6.6401,6.5889,6.6283,2814.99,0.0
2001-02-14,6.6204,6.6283,6.4825,6.5416,5573.4,0.0
2001-02-15,6.4667,6.5416,6.4155,6.4273,3702.0,0.0
2001-02-16,6.352,6.3719,6.0819,6.3123,2121.02,0.0
2001-02-19,6.2686,6.3441,6.201,6.3401,1162.8,0.0
2001-02-20,6.2964,6.356,6.2368,6.2567,1535.0,0.0
2001-02-21,6.2368,6.2368,5.6846,6.0223,4325.76,0.0
2001-02-22,5.8435,6.1573,5.7601,5.9627,2036.0,0.0
2001-02-23,6.0382,6.0382,5.8594,5.9826,2284.35,0.0
2001-02-26,5.8872,6.2686,5.8872,6.07,915.1,0.0
2001-02-27,6.0739,6.0938,5.919,6.0739,2876.91,0.0
2001-02-28,6.0858,6.1573,6.0421,6.1017,4983.09,0.0
2001-03-01,6.1057,6.1375,6.0779,6.1017,3542.98,0.0
2001-03-02,6.1097,6.3679,6.1097,6.3242,6019.14,0.0
2001-03-05,6.4672,6.9558,6.3679,6.7731,14771.03,0.0
2001-03-06,6.7771,7.1068,6.7532,6.9081,22182.45,0.0
2001-03-07,6.932,7.3372,6.7532,7.2855,23768.55,0.0
2001-03-08,7.3411,8.0125,7.3411,8.0125,58612.1,0.0
2001-03-09,8.0125,8.3422,7.7861,7.9926,20484.51,0.0
2001-03-12,7.9887,8.5011,7.9529,8.1515,25781.17,0.0
2001-03-13,8.1515,8.2628,7.8258,8.1317,13131.12,0.0
2001-03-14,8.0641,8.3382,7.945,8.2032,13378.86,0.0
2001-03-15,8.2032,8.2628,7.9489,8.1237,12362.05,0.0
2001-03-16,8.0244,8.4852,8.0244,8.231,13614.37,0.0
2001-03-19,8.231,9.0533,8.1833,9.0175,29672.89,0.0
2001-03-20,9.0175,9.2162,8.7395,9.0811,14849.73,0.0
2001-03-21,9.0175,9.2162,8.8189,9.1844,15609.25,0.0
2001-03-22,9.236,9.6134,8.9977,9.0056,15559.58,0.0
2001-03-23,9.0374,9.1288,8.3422,8.3939,23061.96,0.0
2001-03-26,8.4614,8.7355,8.4217,8.6481,11886.01,0.0
2001-03-27,8.6004,8.6481,8.4932,8.6163,9730.17,0.0
2001-03-28,8.5686,8.8189,8.5647,8.7275,8285.35,0.0
2001-03-29,8.6203,8.8507,8.6203,8.8189,15660.15,0.0
2001-03-30,8.8269,9.0453,8.8189,8.9977,8366.54,0.0
2001-04-02,9.0414,9.1963,8.8586,9.1129,8441.38,0.0
2001-04-03,8.9778,9.1923,8.8984,8.9619,6853.0,0.0
2001-04-04,8.9699,9.0374,8.5408,8.7117,7406.93,0.0
2001-04-05,8.6918,8.9063,8.6799,8.7395,10856.07,0.0
2001-04-06,8.7395,8.8149,8.6997,8.7673,5993.89,0.0
2001-04-09,8.7871,9.1685,8.6958,9.1129,10287.53,0.0
2001-04-10,9.1288,9.2519,9.097,9.2122,11712.93,0.0
2001-04-11,9.2162,9.2559,8.9182,9.0016,6464.6,0.0
2001-04-13,9.1288,9.2559,9.0573,9.0771,7998.25,0.0
2001-04-16,9.089,9.2559,8.8189,9.1963,14048.66,0.0
2001-04-17,9.236,9.236,8.9778,9.0255,5128.08,0.0
2001-04-18,9.0175,9.0573,8.8189,9.0453,2725.06,0.0
2001-04-19,8.9381,9.0453,8.8189,8.8666,3163.89,0.0
2001-04-20,9.1327,9.1327,8.7395,8.799,5550.57,0.0
2001-04-23,8.7395,8.7792,8.5408,8.5806,3677.36,0.0
2001-04-24,8.5806,8.7355,8.5249,8.5965,5112.0,0.0
2001-04-25,8.6918,8.7395,8.1436,8.3502,4704.57,0.0
2001-04-26,8.3621,8.5726,8.3581,8.4932,4152.26,0.0
2001-04-27,8.5011,8.5885,8.3859,8.4534,2711.21,0.0
2001-04-30,8.6521,8.7792,8.3939,8.7315,2462.0,0.0
2001-05-08,8.7712,8.8785,8.668,8.6799,3013.21,0.0
2001-05-09,8.673,9.4406,8.4782,9.2693,9812.99,0.0
2001-05-10,9.3284,9.3579,9.0391,9.2752,12461.0,0.0
2001-05-11,9.2989,9.4465,9.1513,9.3874,15760.46,0.0
2001-05-14,9.4524,9.5173,9.1808,9.1985,8186.84,0.0
2001-05-15,9.1926,9.2693,8.9741,9.0804,7577.03,0.0
2001-05-16,9.0804,9.3284,9.0804,9.2516,6521.8,0.0
2001-05-17,9.1513,9.3402,9.1513,9.2339,6183.0,0.0
2001-05-18,9.2339,9.2339,9.0096,9.1276,5526.24,0.0
2001-05-21,9.1513,9.2103,9.0037,9.0981,6721.53,0.0
2001-05-22,9.1099,9.2103,9.0922,9.1217,3715.22,0.0
2001-05-23,9.1217,9.1335,8.921,9.0155,5529.72,0.0
2001-05-24,8.9564,9.1631,8.9564,9.0391,3843.46,0.0
2001-05-25,9.0391,9.104,8.9623,8.9859,3497.97,0.0
2001-05-28,8.9859,9.0686,8.8383,8.9564,4852.46,0.0
2001-05-29,8.9151,9.1217,8.9151,8.9682,5855.09,0.0
2001-05-30,8.9741,9.2103,8.9682,9.0568,5541.54,0.0
2001-05-31,9.0922,9.3107,9.0922,9.169,8756.94,0.0
2001-06-01,9.169,9.9483,9.169,9.8007,33507.04,0.0
2001-06-04,9.9011,9.9601,9.7299,9.7358,25542.46,0.0
2001-06-05,9.7417,9.8007,9.5941,9.6708,10892.99,0.0
2001-06-06,9.6826,9.7299,9.5055,9.7121,9755.22,0.0
2001-06-07,9.5055,9.9129,9.5055,9.6531,8378.94,0.0
2001-06-08,9.6472,9.7358,9.535,9.5645,6136.78,0.0
2001-06-11,9.6236,9.6531,9.4228,9.4701,8150.65,0.0
2001-06-12,9.5055,9.659,9.4465,9.5409,7666.24,0.0
2001-06-13,9.535,9.6767,9.5055,9.6472,7647.25,0.0
2001-06-14,9.6649,9.7653,9.5114,9.5232,7923.92,0.0
2001-06-15,9.4465,9.5468,9.4465,9.5173,4089.86,0.0
2001-06-18,9.5055,9.5055,9.2575,9.2871,9564.87,0.0
2001-06-19,9.2693,9.5055,9.2398,9.3697,5092.65,0.0
2001-06-20,9.3697,9.4406,9.2634,9.2871,2773.01,0.0
2001-06-21,9.3756,9.3756,9.2575,9.3343,6359.72,0.0
2001-06-22,9.3579,9.5055,9.3284,9.3874,3764.15,0.0
2001-06-25,9.5055,9.5055,9.2693,9.4583,3854.99,0.0
2001-06-26,9.4583,9.5055,9.3461,9.4642,4782.3,0.0
2001-06-27,9.4701,9.7358,9.4642,9.5527,6876.14,0.0
2001-06-28,9.6118,9.7121,9.476,9.6295,7132.55,0.0
2001-06-29,9.6354,9.6649,9.5704,9.5882,3638.26,0.0
2001-07-02,9.5941,9.6236,9.476,9.5941,2759.22,0.0
2001-07-03,9.5645,9.6885,9.5173,9.6767,4114.94,0.0
2001-07-04,9.6767,9.7121,9.6,9.659,3767.51,0.0
2001-07-05,9.6354,9.6708,9.4819,9.4937,4603.74,0.0
2001-07-06,9.4996,9.5055,9.352,9.3992,6399.16,0.0
2001-07-09,9.3579,9.4583,9.2871,9.4465,3419.91,0.0
2001-07-10,9.4465,9.5055,9.4051,9.4701,3923.64,0.0
2001-07-11,9.476,9.5527,9.411,9.4642,4472.53,0.0
2001-07-12,9.4583,9.476,9.3992,9.4347,4093.79,0.0
2001-07-13,9.4406,9.4937,9.4228,9.4819,3174.22,0.0
2001-07-16,9.4819,9.535,9.4347,9.4819,3618.78,0.0
2001-07-17,9.4465,9.4465,9.352,9.4465,3940.91,0.0
2001-07-18,9.4819,9.4819,9.3992,9.4642,2666.5,0.0
2001-07-19,9.476,9.476,9.3579,9.4169,2770.34,0.0
2001-07-20,9.3284,9.4996,9.3284,9.4169,5536.87,0.0
2001-07-23,9.3874,9.5055,9.3874,9.4642,4344.29,0.0
2001-07-24,9.4465,9.7889,9.4465,9.4819,6470.77,0.0
2001-07-25,9.4465,9.6236,9.3874,9.5409,3447.29,0.0
2001-07-26,9.5468,9.5468,9.4465,9.4701,2976.81,0.0
2001-07-27,9.5527,9.5586,9.3815,9.4169,2154.89,0.0
2001-07-30,9.4347,9.4347,8.8561,8.862,4950.59,0.0
2001-07-31,8.7085,8.9151,8.4192,8.5018,4774.07,0.0
2001-08-01,8.6199,8.8679,8.5018,8.738,3206.13,0.0
2001-08-02,8.797,8.797,8.3837,8.6258,2928.59,0.0
2001-08-03,8.5609,8.7852,8.5609,8.673,1168.96,0.0
2001-08-06,8.6789,8.6789,8.4251,8.4782,2366.62,0.0
2001-08-07,8.4428,8.673,8.2834,8.4251,2656.28,0.0
2001-08-08,8.431,8.5195,8.3837,8.431,932.74,0.0
2001-08-09,8.5963,8.9151,8.431,8.7203,1859.5,0.0
2001-08-10,8.8443,8.9446,8.6199,8.7675,2035.6,0.0
2001-08-13,8.6494,8.797,8.6494,8.7321,1513.09,0.0
2001-08-14,8.7675,8.7675,8.3247,8.5372,1296.0,0.0
2001-08-15,8.5018,8.8561,8.5018,8.8147,9206.81,0.0
2001-08-16,8.8443,8.8974,8.6671,8.8147,1743.48,0.0
2001-08-17,8.7675,8.797,8.7144,8.7498,611.26,0.0
2001-08-20,8.6848,8.7675,8.6317,8.738,721.36,0.0
2001-08-21,8.8443,8.8443,8.738,8.8088,547.69,0.0
2001-08-22,8.738,8.7498,8.6848,8.6848,873.75,0.0
2001-08-23,8.6199,8.738,8.5904,8.6907,985.81,0.0
2001-08-24,8.8561,8.8561,8.6671,8.7911,2051.89,0.0
2001-08-27,8.7852,8.7852,8.4428,8.6258,1672.67,0.0
2001-08-28,8.6199,8.6199,8.2657,8.5963,4208.84,0.0
2001-08-29,8.5313,8.7262,8.3837,8.5018,1124.0,0.0
2001-08-30,8.5018,8.5904,8.4428,8.549,1193.61,0.0
2001-08-31,8.5431,8.5431,8.431,8.431,240.12,0.0
2001-09-03,8.431,8.4369,8.366,8.3719,1048.0,0.0
2001-09-04,8.3542,8.7085,8.3542,8.673,1230.13,0.0
2001-09-05,8.5727,8.7262,8.5609,8.6081,1188.44,0.0
2001-09-06,8.6671,8.6671,8.5136,8.5136,1207.69,0.0
2001-09-07,8.6081,8.6081,8.3719,8.3719,1222.54,0.0
2001-09-10,8.2952,8.5018,7.9705,8.4959,1313.14,0.0
2001-09-11,8.5609,8.5609,8.3837,8.4841,931.81,0.0
2001-09-12,8.2598,8.3837,7.9705,8.3542,2027.14,0.0
2001-09-13,8.4723,8.4723,8.2952,8.3188,463.16,0.0
2001-09-14,8.3542,8.3542,8.1948,8.2657,1043.95,0.0
2001-09-17,8.0295,8.2716,8.0295,8.1299,1769.14,0.0
2001-09-18,8.0885,8.1535,8.059,8.0708,935.48,0.0
2001-09-19,8.2716,8.2716,8.0767,8.1535,1856.68,0.0
2001-09-20,8.2538,8.3247,8.1594,8.2184,1846.61,0.0
2001-09-21,8.2657,8.2952,8.1003,8.1358,1209.85,0.0
2001-09-24,8.2657,8.2657,7.9114,8.1003,1519.6,0.0
2001-09-25,8.1476,8.2066,7.9705,8.0295,2162.72,0.0
2001-09-26,8.0354,8.0354,7.7933,7.8229,1419.18,0.0
2001-09-27,7.9114,8.0295,7.5631,7.8347,1462.74,0.0
2001-09-28,7.9705,7.9705,7.6812,7.8406,502.63,0.0
2001-10-08,7.8406,7.8406,7.6162,7.693,675.18,0.0
2001-10-09,7.6162,7.9586,7.6162,7.7815,670.95,0.0
2001-10-10,7.7048,7.7048,7.38,7.6339,1151.75,0.0
2001-10-11,7.5867,7.5867,7.38,7.4981,803.17,0.0
2001-10-12,7.4391,7.6221,7.1557,7.6103,1499.65,0.0
2001-10-15,7.5336,7.6634,7.3919,7.628,1458.87,0.0
2001-10-16,7.4096,7.7461,7.38,7.5749,1186.47,0.0
2001-10-17,7.6457,7.6457,7.38,7.5749,203.0,0.0
2001-10-18,7.4981,7.5749,7.3682,7.5572,212.83,0.0
2001-10-19,7.5454,7.5454,7.1911,7.3092,541.57,0.0
2001-10-22,7.2915,7.2915,6.7306,6.9491,1902.67,0.0
2001-10-23,7.6457,7.6457,7.2738,7.6457,4924.33,0.0
2001-10-24,7.628,8.0295,7.628,7.7874,5897.87,0.0
2001-10-25,7.9705,7.9705,7.5572,7.6516,1734.97,0.0
2001-10-26,7.6162,7.7048,7.5336,7.6634,915.98,0.0
2001-10-29,7.6044,7.6693,7.5867,7.6634,404.98,0.0
2001-10-30,7.6693,7.6693,7.4155,7.6575,599.53,0.0
2001-10-31,7.6339,7.6339,7.38,7.4863,968.23,0.0
2001-11-01,7.6457,7.6457,7.4804,7.4922,307.4,0.0
2001-11-02,7.5572,7.5572,7.38,7.5099,558.44,0.0
2001-11-05,7.4273,7.4863,7.2974,7.4686,506.0,0.0
2001-11-06,7.6162,7.6162,7.262,7.4037,184.9,0.0
2001-11-07,7.4686,7.4686,6.9786,7.2265,1157.0,0.0
2001-11-08,6.8487,7.2324,6.8487,7.2324,1932.79,0.0
2001-11-09,7.2324,7.3505,7.0848,7.3151,661.66,0.0
2001-11-12,7.3151,7.3151,7.1203,7.1911,92.0,0.0
2001-11-13,7.014,7.1911,7.014,7.1498,521.74,0.0
2001-11-14,7.014,7.3623,7.014,7.3151,2358.0,0.0
2001-11-15,7.2974,7.4155,7.2324,7.2502,276.85,0.0
2001-11-16,7.6812,7.7638,7.262,7.3564,1746.0,0.0
2001-11-19,7.3623,7.3741,7.2029,7.3623,899.45,0.0
2001-11-20,7.3564,7.4863,7.3151,7.4568,4613.58,0.0
2001-11-21,7.4509,7.6398,7.4155,7.6221,2274.89,0.0
2001-11-22,7.6457,7.8642,7.628,7.7756,2270.57,0.0
2001-11-23,7.7756,7.9055,7.7756,7.8937,3261.35,0.0
2001-11-26,7.7756,7.9705,7.7756,7.9645,1772.18,0.0
2001-11-27,7.9705,8.2361,7.9705,8.2125,4065.98,0.0
2001-11-28,8.2243,8.2893,8.1358,8.1594,2684.21,0.0
2001-11-29,8.1948,8.1948,8.0295,8.1358,4800.81,0.0
2001-11-30,8.1476,8.2361,8.0767,8.2184,3667.12,0.0
2001-12-03,8.2657,8.2952,8.183,8.2302,2692.56,0.0
2001-12-04,8.2243,8.2361,8.1535,8.2125,1514.76,0.0
2001-12-05,8.2657,8.3306,8.1948,8.2361,3456.12,0.0
2001-12-06,8.1476,8.3011,8.0767,8.1948,1149.0,0.0
2001-12-07,8.0944,8.2952,8.0944,8.183,1395.0,0.0
2001-12-10,7.7284,8.2657,7.7284,8.2125,1556.1,0.0
2001-12-12,8.1712,8.1771,7.9705,8.1299,1316.81,0.0
2001-12-13,8.1358,8.1417,7.9409,8.0354,882.92,0.0
2001-12-14,8.0472,8.0472,7.6871,7.876,1894.27,0.0
2001-12-17,7.8937,7.8937,7.5336,7.7579,1371.75,0.0
2001-12-18,7.7638,7.7815,7.7048,7.7756,752.03,0.0
2001-12-19,7.7756,7.7992,7.6753,7.7402,2003.96,0.0
2001-12-20,7.8229,7.8229,7.5808,7.5926,1885.0,0.0
2001-12-21,7.6457,7.6871,7.5395,7.5631,2647.16,0.0
2001-12-24,7.6103,7.8347,7.4981,7.6221,4006.87,0.0
2001-12-25,7.6162,7.7874,7.5277,7.7048,4563.76,0.0
2001-12-26,7.7048,7.8288,7.6634,7.7697,3017.44,0.0
2001-12-27,7.7638,7.7756,7.6516,7.6871,1237.94,0.0
