trade_date,open,high,low,close,volume,openinterest
2002-04-09,2.0767,2.1498,2.0767,2.1063,4141088.31,0.0
2002-04-10,2.1063,2.1142,2.053,2.0944,679454.75,0.0
2002-04-11,2.0944,2.1103,2.0727,2.0786,227882.55,0.0
2002-04-12,2.0747,2.1024,2.0707,2.0885,212564.63,0.0
2002-04-15,2.0885,2.0944,2.0451,2.053,185311.04,0.0
2002-04-16,2.0451,2.053,2.0036,2.0075,249254.91,0.0
2002-04-17,2.0055,2.0273,1.9937,2.0194,114593.39,0.0
2002-04-18,2.0154,2.0154,1.9957,1.9996,85332.79,0.0
2002-04-19,1.9957,2.0055,1.9739,2.0036,157222.49,0.0
2002-04-22,1.9957,1.9957,1.9739,1.9779,65938.27,0.0
2002-04-23,1.9759,1.9937,1.9581,1.9759,73765.44,0.0
2002-04-24,1.9759,1.9759,1.9166,1.9304,172413.56,0.0
2002-04-25,1.9265,1.9463,1.9245,1.9384,99602.72,0.0
2002-04-26,1.9403,1.9542,1.9364,1.9443,81692.13,0.0
2002-04-29,1.9443,1.9522,1.9186,1.9463,90360.87,0.0
2002-04-30,1.9542,2.0055,1.9364,1.9798,182625.05,0.0
2002-05-08,1.9759,1.9818,1.9522,1.9561,42283.58,0.0
2002-05-09,1.9542,1.9917,1.9522,1.964,44703.94,0.0
2002-05-10,1.9581,1.9621,1.9364,1.9384,46384.8,0.0
2002-05-13,1.9364,1.9364,1.8929,1.9008,127254.97,0.0
2002-05-14,1.8969,1.9048,1.8692,1.8731,82399.48,0.0
2002-05-15,1.8692,1.887,1.8336,1.8356,97083.85,0.0
2002-05-16,1.8336,1.8336,1.7921,1.8079,195171.41,0.0
2002-05-17,1.8139,1.8376,1.7882,1.8277,100101.12,0.0
2002-05-20,1.804,1.8139,1.7645,1.7744,112970.72,0.0
2002-05-21,1.8139,1.8277,1.7842,1.8139,126083.52,0.0
2002-05-22,1.8158,1.8178,1.7605,1.7664,73383.58,0.0
2002-05-23,1.7684,1.804,1.7664,1.7744,71889.25,0.0
2002-05-24,1.7744,1.7862,1.7309,1.7526,105260.0,0.0
2002-05-27,1.7566,1.7684,1.7348,1.7605,54394.44,0.0
2002-05-28,1.7605,1.7763,1.7585,1.7625,56076.77,0.0
2002-05-29,1.7625,1.7664,1.7032,1.7131,74801.5,0.0
2002-05-30,1.7111,1.7348,1.6835,1.7289,131798.29,0.0
2002-05-31,1.725,1.7506,1.7111,1.719,46691.99,0.0
2002-06-04,1.7052,1.7783,1.6874,1.7506,213157.6,0.0
2002-06-05,1.8218,1.8218,1.723,1.7269,91494.76,0.0
2002-06-06,1.7269,1.7941,1.7151,1.7783,125309.92,0.0
2002-06-07,1.7803,1.7902,1.7585,1.7744,117606.56,0.0
2002-06-10,1.7744,1.7902,1.7645,1.7763,49101.42,0.0
2002-06-11,1.7763,1.7803,1.7625,1.7664,28481.53,0.0
2002-06-12,1.7783,1.7783,1.7388,1.7526,30367.53,0.0
2002-06-13,1.7526,1.7526,1.7289,1.7309,28614.62,0.0
2002-06-14,1.7289,1.7289,1.7131,1.7151,29395.0,0.0
2002-06-17,1.7091,1.7111,1.6953,1.7111,30367.71,0.0
2002-06-18,1.7111,1.7487,1.7091,1.7408,53175.74,0.0
2002-06-19,1.7408,1.7427,1.7091,1.7151,27745.19,0.0
2002-06-20,1.7151,1.7447,1.7131,1.725,41083.0,0.0
2002-06-21,1.7289,1.7961,1.723,1.7724,149473.63,0.0
2002-06-24,1.9502,1.9502,1.8791,1.9502,950650.27,0.0
2002-06-25,1.9739,2.1438,1.9384,2.0648,1495149.53,0.0
2002-06-26,2.0451,2.0944,2.0055,2.0213,419636.72,0.0
2002-06-27,2.0213,2.0944,2.0115,2.0747,414427.17,0.0
2002-06-28,2.0767,2.2822,2.0767,2.2822,1560153.69,0.0
2002-07-01,2.3118,2.3395,2.2525,2.2881,905836.32,0.0
2002-07-02,2.2822,2.2841,2.209,2.2604,379552.68,0.0
2002-07-03,2.2525,2.3098,2.2347,2.2664,256837.2,0.0
2002-07-04,2.2723,2.2881,2.1616,2.1952,419516.94,0.0
2002-07-05,2.1735,2.2407,2.1577,2.2328,337472.27,0.0
2002-07-08,2.211,2.3118,2.211,2.2407,419315.94,0.0
2002-07-09,2.2426,2.3177,2.2426,2.3019,539128.74,0.0
2002-07-10,2.3019,2.3553,2.2308,2.2347,1036685.59,0.0
2002-07-11,2.217,2.2525,2.2031,2.211,313053.63,0.0
2002-07-12,2.211,2.2229,2.1695,2.1794,324936.6,0.0
2002-07-15,2.1735,2.1834,2.1241,2.1419,234483.28,0.0
2002-07-16,2.1478,2.1834,2.132,2.1458,185946.02,0.0
2002-07-17,2.1498,2.1814,2.132,2.1794,84799.98,0.0
2002-07-18,2.1913,2.217,2.1695,2.1932,200920.68,0.0
2002-07-19,2.2031,2.211,2.1735,2.2011,96841.95,0.0
2002-07-22,2.2051,2.2051,2.1063,2.1122,215105.42,0.0
2002-07-23,2.1043,2.1814,2.0964,2.132,186667.49,0.0
2002-07-24,2.1241,2.1597,2.1122,2.13,80158.58,0.0
2002-07-25,2.1241,2.1438,2.0925,2.1063,104706.32,0.0
2002-07-26,2.1103,2.1221,2.0944,2.0984,76788.34,0.0
2002-07-29,2.0944,2.1142,2.0747,2.1122,87368.92,0.0
2002-07-30,2.1241,2.2031,2.1122,2.1636,330969.69,0.0
2002-07-31,2.1517,2.1834,2.1043,2.1142,146379.18,0.0
2002-08-01,2.1122,2.1359,2.0925,2.1201,65010.91,0.0
2002-08-02,2.1261,2.134,2.1043,2.1201,37555.25,0.0
2002-08-05,2.1201,2.1201,2.0767,2.0786,58495.96,0.0
2002-08-06,2.0747,2.1399,2.047,2.0865,131368.11,0.0
2002-08-07,2.0865,2.1122,2.0786,2.0944,80281.76,0.0
2002-08-08,2.1043,2.1438,2.0984,2.1043,144101.44,0.0
2002-08-09,2.0944,2.1063,2.0806,2.0806,109416.29,0.0
2002-08-12,2.0391,2.0628,2.0233,2.0431,605204.78,0.0
2002-08-13,2.0431,2.0767,2.0312,2.0431,158778.98,0.0
2002-08-14,2.047,2.0747,2.047,2.0668,86809.32,0.0
2002-08-15,2.0668,2.0786,2.053,2.0628,63829.01,0.0
2002-08-16,2.0589,2.0846,2.0332,2.0628,128143.39,0.0
2002-08-19,2.0668,2.1103,2.047,2.0865,112279.06,0.0
2002-08-20,2.0885,2.1814,2.0885,2.1577,381492.19,0.0
2002-08-21,2.1597,2.1774,2.1458,2.1478,162159.53,0.0
2002-08-22,2.1498,2.1774,2.1419,2.1517,215196.26,0.0
2002-08-23,2.1517,2.1834,2.1478,2.1577,136801.19,0.0
2002-08-26,2.1577,2.1656,2.1201,2.1261,105065.3,0.0
2002-08-27,2.1201,2.1636,2.1162,2.134,114815.83,0.0
2002-08-28,2.134,2.1636,2.1241,2.1419,86611.0,0.0
2002-08-29,2.1419,2.1636,2.128,2.132,74632.58,0.0
2002-08-30,2.1419,2.1458,2.13,2.1359,54321.07,0.0
2002-09-02,2.1162,2.1458,2.1162,2.132,38488.18,0.0
2002-09-03,2.134,2.1616,2.134,2.1616,82129.24,0.0
2002-09-04,2.1636,2.1695,2.1399,2.1419,63243.75,0.0
2002-09-05,2.1359,2.1359,2.0905,2.0984,150403.76,0.0
2002-09-06,2.0944,2.0984,2.0549,2.0589,108768.82,0.0
2002-09-09,2.047,2.0589,2.0371,2.049,78148.09,0.0
2002-09-10,2.049,2.0707,2.047,2.051,31311.34,0.0
2002-09-11,2.0549,2.0688,1.9957,2.0411,136566.52,0.0
2002-09-12,2.0411,2.0589,2.0253,2.0371,25743.61,0.0
2002-09-13,2.0411,2.0569,2.0352,2.047,24386.76,0.0
2002-09-16,2.047,2.047,1.9779,1.9897,153880.84,0.0
2002-09-17,1.9897,2.0174,1.9759,1.9937,79921.53,0.0
2002-09-18,1.9976,2.0055,1.9897,1.9937,36930.15,0.0
2002-09-19,1.9917,2.053,1.9779,2.0292,89016.55,0.0
2002-09-20,2.0312,2.0352,1.9976,2.0036,45681.28,0.0
2002-09-23,1.9957,2.0174,1.9937,2.0075,19496.1,0.0
2002-09-24,2.0075,2.0391,1.9996,2.0194,43831.2,0.0
2002-09-25,2.0332,2.0451,2.0055,2.0312,37528.65,0.0
2002-09-26,2.0292,2.051,2.0134,2.0154,48463.09,0.0
2002-09-27,2.0154,2.0371,1.9759,1.9917,98888.52,0.0
2002-10-08,1.9838,2.0055,1.9581,1.9759,41817.85,0.0
2002-10-09,1.9759,1.9759,1.9127,1.9166,63546.35,0.0
2002-10-10,1.9146,1.9344,1.883,1.8909,33317.64,0.0
2002-10-11,1.8969,1.9107,1.8672,1.8791,59223.34,0.0
2002-10-14,1.8811,1.9127,1.8376,1.8969,47307.86,0.0
2002-10-15,1.8949,1.9087,1.8731,1.8751,44996.47,0.0
2002-10-16,1.8771,1.9364,1.8771,1.9146,71713.08,0.0
2002-10-17,1.9146,1.9166,1.8811,1.9048,45207.09,0.0
2002-10-18,1.8949,1.9265,1.8811,1.9107,31517.9,0.0
2002-10-21,1.9107,1.9364,1.8969,1.9245,20549.72,0.0
2002-10-22,1.9245,1.964,1.9245,1.9482,55634.46,0.0
2002-10-23,1.9482,1.9561,1.9285,1.9364,42664.5,0.0
2002-10-24,1.9384,1.9502,1.9225,1.9265,16555.38,0.0
2002-10-25,1.9304,1.9443,1.8988,1.9107,38253.71,0.0
2002-10-28,1.8969,1.9265,1.8731,1.883,66029.02,0.0
2002-10-29,1.883,1.9067,1.8692,1.9008,27869.52,0.0
2002-10-30,1.887,1.9107,1.885,1.9048,16686.58,0.0
2002-10-31,1.9048,1.9245,1.887,1.8909,27996.11,0.0
2002-11-01,1.8949,1.9186,1.885,1.9028,34917.23,0.0
2002-11-04,1.9146,1.9463,1.9028,1.9423,57128.77,0.0
2002-11-05,1.9463,1.9858,1.9463,1.9601,152607.79,0.0
2002-11-06,1.9621,1.966,1.9502,1.9561,31783.3,0.0
2002-11-07,1.9621,1.9818,1.9561,1.9759,107577.68,0.0
2002-11-08,1.9897,2.0036,1.9245,1.9443,128992.82,0.0
2002-11-11,1.9384,1.9561,1.9107,1.9127,36037.51,0.0
2002-11-12,1.9166,1.9739,1.9107,1.9245,142429.64,0.0
2002-11-13,1.9245,1.9324,1.889,1.9127,68445.82,0.0
2002-11-14,1.9166,1.9225,1.8672,1.8712,57322.36,0.0
2002-11-15,1.8613,1.9067,1.8534,1.8573,91457.46,0.0
