date,amount,price,sid,symbol,value
2010-01-14 00:00:00+00:00,1000,7.2472,0,,-7247.200000000001
2010-01-22 00:00:00+00:00,-1000,7.4968,0,,7496.8
2010-02-02 00:00:00+00:00,1000,6.9078,0,,-6907.8
2010-02-10 00:00:00+00:00,-1000,6.8978,0,,6897.8
2010-02-22 00:00:00+00:00,1000,6.9976,0,,-6997.6
2010-03-05 00:00:00+00:00,-1000,8.0358,0,,8035.8
2010-03-11 00:00:00+00:00,1000,8.1855,0,,-8185.499999999999
2010-03-12 00:00:00+00:00,-1000,8.0857,0,,8085.699999999999
2010-03-19 00:00:00+00:00,1000,8.0757,0,,-8075.7
2010-03-26 00:00:00+00:00,-1000,7.7862,0,,7786.2
2010-03-31 00:00:00+00:00,1000,7.9859,0,,-7985.9
2010-04-12 00:00:00+00:00,-1000,8.1756,0,,8175.599999999999
2010-05-10 00:00:00+00:00,1000,7.0076,0,,-7007.6
2010-05-14 00:00:00+00:00,-1000,6.0793,0,,6079.3
2010-05-26 00:00:00+00:00,1000,5.3705,0,,-5370.5
2010-06-02 00:00:00+00:00,-1000,5.1908,0,,5190.8
2010-06-11 00:00:00+00:00,1000,5.4903,0,,-5490.3
2010-06-22 00:00:00+00:00,-1000,5.3206,0,,5320.599999999999
2010-06-24 00:00:00+00:00,1000,5.3905,0,,-5390.5
2010-06-28 00:00:00+00:00,-1000,5.2807,0,,5280.700000000001
2010-07-06 00:00:00+00:00,1000,5.5702,0,,-5570.2
2010-07-16 00:00:00+00:00,-1000,5.2407,0,,5240.700000000001
2010-07-22 00:00:00+00:00,1000,5.9894,0,,-5989.4
2010-07-30 00:00:00+00:00,-1000,5.9994,0,,5999.4
2010-08-02 00:00:00+00:00,1000,5.9695,0,,-5969.5
2010-08-11 00:00:00+00:00,-1000,5.8896,0,,5889.599999999999
2010-08-17 00:00:00+00:00,1000,6.0194,0,,-6019.4
2010-08-23 00:00:00+00:00,-1000,6.0892,0,,6089.2
2010-08-25 00:00:00+00:00,1000,6.3288,0,,-6328.8
2010-09-02 00:00:00+00:00,-1000,6.1791,0,,6179.1
2010-09-07 00:00:00+00:00,1000,6.249,0,,-6249.0
2010-09-13 00:00:00+00:00,-1000,6.0493,0,,6049.299999999999
2010-09-15 00:00:00+00:00,1000,6.3987,0,,-6398.7
2010-09-20 00:00:00+00:00,-1000,6.1891,0,,6189.099999999999
2010-09-30 00:00:00+00:00,1000,6.0393,0,,-6039.3
2010-10-08 00:00:00+00:00,-1000,6.1591,0,,6159.099999999999
2010-10-12 00:00:00+00:00,1000,6.4187,0,,-6418.700000000001
2010-10-18 00:00:00+00:00,-1000,6.1891,0,,6189.099999999999
2010-10-20 00:00:00+00:00,1000,6.219,0,,-6219.0
2010-10-22 00:00:00+00:00,-1000,6.1491,0,,6149.099999999999
2010-10-27 00:00:00+00:00,1000,6.3388,0,,-6338.8
2010-11-15 00:00:00+00:00,-1000,5.9395,0,,5939.5
2010-11-24 00:00:00+00:00,1000,5.6899,0,,-5689.9
2010-11-30 00:00:00+00:00,-1000,5.68,0,,5680.0
2010-12-10 00:00:00+00:00,1000,5.5103,0,,-5510.3
2010-12-20 00:00:00+00:00,-1000,5.5602,0,,5560.2
2011-01-04 00:00:00+00:00,1000,5.101,0,,-5101.0
2011-01-12 00:00:00+00:00,-1000,5.111,0,,5111.0
2011-01-21 00:00:00+00:00,1000,4.8015,0,,-4801.5
2011-01-26 00:00:00+00:00,-1000,4.8914,0,,4891.4
2011-01-31 00:00:00+00:00,1000,4.9712,0,,-4971.2
2011-03-01 00:00:00+00:00,-1000,6.1591,0,,6159.099999999999
2011-03-02 00:00:00+00:00,1000,6.1192,0,,-6119.2
2011-03-04 00:00:00+00:00,-1000,5.7498,0,,5749.799999999999
2011-03-10 00:00:00+00:00,1000,5.9096,0,,-5909.6
2011-03-18 00:00:00+00:00,-1000,5.8796,0,,5879.6
2011-03-28 00:00:00+00:00,1000,5.8197,0,,-5819.7
2011-03-31 00:00:00+00:00,-1000,5.68,0,,5680.0
2011-04-08 00:00:00+00:00,1000,5.7898,0,,-5789.799999999999
2011-04-20 00:00:00+00:00,-1000,5.7399,0,,5739.9
2011-04-25 00:00:00+00:00,1000,5.9994,0,,-5999.4
2011-04-28 00:00:00+00:00,-1000,5.7299,0,,5729.9
2011-05-05 00:00:00+00:00,1000,5.5402,0,,-5540.2
2011-05-31 00:00:00+00:00,-1000,5.3905,0,,5390.5
2011-06-10 00:00:00+00:00,1000,5.2707,0,,-5270.7
2011-06-13 00:00:00+00:00,-1000,5.2507,0,,5250.7
2011-06-24 00:00:00+00:00,1000,4.9912,0,,-4991.2
2011-07-01 00:00:00+00:00,-1000,5.0611,0,,5061.099999999999
2011-07-05 00:00:00+00:00,1000,5.1908,0,,-5190.8
2011-07-15 00:00:00+00:00,-1000,5.2907,0,,5290.7
2011-07-18 00:00:00+00:00,1000,5.3106,0,,-5310.6
2011-07-21 00:00:00+00:00,-1000,5.2907,0,,5290.7
2011-08-01 00:00:00+00:00,1000,5.5901,0,,-5590.099999999999
2011-08-05 00:00:00+00:00,-1000,5.4903,0,,5490.3
2011-08-15 00:00:00+00:00,1000,5.3306,0,,-5330.599999999999
2011-08-19 00:00:00+00:00,-1000,5.3106,0,,5310.6
2011-08-24 00:00:00+00:00,1000,5.5801,0,,-5580.099999999999
2011-08-25 00:00:00+00:00,-1000,5.4404,0,,5440.400000000001
2011-09-13 00:00:00+00:00,1000,4.9712,0,,-4971.2
2011-09-14 00:00:00+00:00,-1000,4.9912,0,,4991.2
2011-09-19 00:00:00+00:00,1000,4.9413,0,,-4941.3
2011-09-20 00:00:00+00:00,-1000,4.8115,0,,4811.5
2011-09-23 00:00:00+00:00,1000,4.8115,0,,-4811.5
2011-09-27 00:00:00+00:00,-1000,4.8914,0,,4891.4
2011-10-10 00:00:00+00:00,1000,4.8714,0,,-4871.400000000001
2011-10-11 00:00:00+00:00,-1000,4.8015,0,,4801.5
2011-10-18 00:00:00+00:00,1000,4.7416,0,,-4741.6
2011-10-20 00:00:00+00:00,-1000,4.6218,0,,4621.8
2011-10-27 00:00:00+00:00,1000,4.552,0,,-4552.0
2011-11-11 00:00:00+00:00,-1000,4.6318,0,,4631.8
2011-11-16 00:00:00+00:00,1000,4.8714,0,,-4871.400000000001
2011-11-21 00:00:00+00:00,-1000,4.6618,0,,4661.8
2011-11-25 00:00:00+00:00,1000,4.552,0,,-4552.0
2011-11-28 00:00:00+00:00,-1000,4.522,0,,4522.0
2011-12-01 00:00:00+00:00,1000,4.6418,0,,-4641.8
2011-12-05 00:00:00+00:00,-1000,4.4422,0,,4442.2
2011-12-22 00:00:00+00:00,1000,3.7733,0,,-3773.2999999999997
2011-12-26 00:00:00+00:00,-1000,3.7434,0,,3743.3999999999996
2012-01-05 00:00:00+00:00,1000,3.6136,0,,-3613.6
2012-01-09 00:00:00+00:00,-1000,3.5837,0,,3583.7
2012-01-11 00:00:00+00:00,1000,3.7633,0,,-3763.3
2012-01-16 00:00:00+00:00,-1000,3.5537,0,,3553.7000000000003
2012-01-20 00:00:00+00:00,1000,3.7434,0,,-3743.3999999999996
2012-02-09 00:00:00+00:00,-1000,3.8931,0,,3893.1
2012-02-13 00:00:00+00:00,1000,3.8931,0,,-3893.1
2012-02-22 00:00:00+00:00,-1000,4.0828,0,,4082.7999999999997
2012-02-23 00:00:00+00:00,1000,4.1127,0,,-4112.7
2012-03-05 00:00:00+00:00,-1000,4.4721,0,,4472.1
2012-03-13 00:00:00+00:00,1000,4.4022,0,,-4402.2
2012-03-15 00:00:00+00:00,-1000,4.1826,0,,4182.599999999999
2012-03-21 00:00:00+00:00,1000,4.2725,0,,-4272.5
2012-03-27 00:00:00+00:00,-1000,4.2325,0,,4232.5
2012-04-06 00:00:00+00:00,1000,4.1527,0,,-4152.700000000001
2012-04-19 00:00:00+00:00,-1000,4.4022,0,,4402.2
2012-04-24 00:00:00+00:00,1000,4.3723,0,,-4372.3
2012-04-25 00:00:00+00:00,-1000,4.3124,0,,4312.400000000001
2012-04-27 00:00:00+00:00,1000,4.3823,0,,-4382.3
2012-05-07 00:00:00+00:00,-1000,4.3823,0,,4382.3
2012-05-17 00:00:00+00:00,1000,4.1926,0,,-4192.599999999999
2012-05-18 00:00:00+00:00,-1000,4.2824,0,,4282.4
2012-05-22 00:00:00+00:00,1000,4.2725,0,,-4272.5
2012-05-29 00:00:00+00:00,-1000,4.1926,0,,4192.599999999999
2012-06-01 00:00:00+00:00,1000,4.2126,0,,-4212.6
2012-06-05 00:00:00+00:00,-1000,4.0528,0,,4052.8
2012-06-11 00:00:00+00:00,1000,4.1227,0,,-4122.7
2012-06-12 00:00:00+00:00,-1000,4.1427,0,,4142.7
2012-06-13 00:00:00+00:00,1000,4.1626,0,,-4162.6
2012-06-21 00:00:00+00:00,-1000,4.3024,0,,4302.4
2012-06-26 00:00:00+00:00,1000,4.3224,0,,-4322.4
2012-06-28 00:00:00+00:00,-1000,4.3124,0,,4312.400000000001
2012-07-02 00:00:00+00:00,1000,4.3723,0,,-4372.3
2012-07-05 00:00:00+00:00,-1000,4.3723,0,,4372.3
2012-07-10 00:00:00+00:00,1000,4.4122,0,,-4412.200000000001
2012-07-17 00:00:00+00:00,-1000,4.4521,0,,4452.099999999999
2012-07-20 00:00:00+00:00,1000,4.5919,0,,-4591.9
2012-07-25 00:00:00+00:00,-1000,4.4022,0,,4402.2
2012-08-06 00:00:00+00:00,1000,4.1527,0,,-4152.700000000001
2012-08-15 00:00:00+00:00,-1000,4.2026,0,,4202.6
2012-08-21 00:00:00+00:00,1000,4.3224,0,,-4322.4
2012-08-27 00:00:00+00:00,-1000,4.2924,0,,4292.4
2012-08-31 00:00:00+00:00,1000,4.1826,0,,-4182.599999999999
2012-09-17 00:00:00+00:00,-1000,4.522,0,,4522.0
2012-09-27 00:00:00+00:00,1000,4.2725,0,,-4272.5
2012-09-28 00:00:00+00:00,-1000,4.2924,0,,4292.4
2012-10-10 00:00:00+00:00,1000,4.3823,0,,-4382.3
2012-10-16 00:00:00+00:00,-1000,4.2725,0,,4272.5
2012-10-22 00:00:00+00:00,1000,4.3124,0,,-4312.400000000001
2012-10-30 00:00:00+00:00,-1000,4.2924,0,,4292.4
2012-11-02 00:00:00+00:00,1000,4.3623,0,,-4362.3
2012-11-21 00:00:00+00:00,-1000,4.502,0,,4502.0
2012-12-10 00:00:00+00:00,1000,3.983,0,,-3983.0
2012-12-14 00:00:00+00:00,-1000,3.8133,0,,3813.2999999999997
2012-12-18 00:00:00+00:00,1000,4.0528,0,,-4052.8
2012-12-25 00:00:00+00:00,-1000,4.0429,0,,4042.9000000000005
2012-12-26 00:00:00+00:00,1000,4.1327,0,,-4132.7
2013-01-25 00:00:00+00:00,-1000,4.4322,0,,4432.2
2013-01-28 00:00:00+00:00,1000,4.6019,0,,-4601.9
2013-02-04 00:00:00+00:00,-1000,4.5619,0,,4561.9
2013-02-19 00:00:00+00:00,1000,4.542,0,,-4542.0
2013-02-21 00:00:00+00:00,-1000,4.4521,0,,4452.099999999999
2013-02-28 00:00:00+00:00,1000,4.3922,0,,-4392.2
2013-03-01 00:00:00+00:00,-1000,4.4621,0,,4462.1
2013-03-04 00:00:00+00:00,1000,4.502,0,,-4502.0
2013-03-07 00:00:00+00:00,-1000,4.522,0,,4522.0
2013-03-08 00:00:00+00:00,1000,4.5819,0,,-4581.9
2013-03-13 00:00:00+00:00,-1000,4.3922,0,,4392.2
2013-03-18 00:00:00+00:00,1000,4.522,0,,-4522.0
2013-03-20 00:00:00+00:00,-1000,4.4721,0,,4472.1
2013-03-25 00:00:00+00:00,1000,4.6318,0,,-4631.8
2013-03-28 00:00:00+00:00,-1000,4.4322,0,,4432.2
2013-04-11 00:00:00+00:00,1000,4.2425,0,,-4242.5
2013-04-15 00:00:00+00:00,-1000,4.1626,0,,4162.6
2013-04-24 00:00:00+00:00,1000,4.0728,0,,-4072.8
2013-04-25 00:00:00+00:00,-1000,4.0928,0,,4092.8000000000006
2013-05-07 00:00:00+00:00,1000,4.0828,0,,-4082.7999999999997
2013-05-21 00:00:00+00:00,-1000,4.502,0,,4502.0
2013-05-29 00:00:00+00:00,1000,4.4921,0,,-4492.099999999999
2013-06-03 00:00:00+00:00,-1000,4.4422,0,,4442.2
2013-06-19 00:00:00+00:00,1000,4.1626,0,,-4162.6
2013-06-21 00:00:00+00:00,-1000,4.0429,0,,4042.9000000000005
2013-07-02 00:00:00+00:00,1000,3.7035,0,,-3703.5
2013-07-03 00:00:00+00:00,-1000,3.6935,0,,3693.5
2013-07-04 00:00:00+00:00,1000,3.6535,0,,-3653.5
2013-07-08 00:00:00+00:00,-1000,3.6935,0,,3693.5
2013-07-15 00:00:00+00:00,1000,3.7334,0,,-3733.4
2013-07-18 00:00:00+00:00,-1000,3.6735,0,,3673.5
2013-07-25 00:00:00+00:00,1000,3.6535,0,,-3653.5
2013-07-31 00:00:00+00:00,-1000,3.6935,0,,3693.5
2013-08-02 00:00:00+00:00,1000,3.7733,0,,-3773.2999999999997
2013-08-19 00:00:00+00:00,-1000,4.0728,0,,4072.8
2013-08-23 00:00:00+00:00,1000,4.0129,0,,-4012.9
2013-08-26 00:00:00+00:00,-1000,4.0129,0,,4012.9
2013-08-28 00:00:00+00:00,1000,4.1327,0,,-4132.7
2013-09-02 00:00:00+00:00,-1000,4.1028,0,,4102.8
2013-09-04 00:00:00+00:00,1000,4.1127,0,,-4112.7
2013-09-09 00:00:00+00:00,-1000,4.0429,0,,4042.9000000000005
2013-09-12 00:00:00+00:00,1000,4.1926,0,,-4192.599999999999
2013-09-18 00:00:00+00:00,-1000,4.0728,0,,4072.8
2013-09-26 00:00:00+00:00,1000,4.0728,0,,-4072.8
2013-09-27 00:00:00+00:00,-1000,3.973,0,,3973.0
2013-10-09 00:00:00+00:00,1000,4.0528,0,,-4052.8
2013-10-18 00:00:00+00:00,-1000,4.0628,0,,4062.8
2013-10-24 00:00:00+00:00,1000,4.0429,0,,-4042.9000000000005
2013-10-25 00:00:00+00:00,-1000,3.9929,0,,3992.9
2013-11-01 00:00:00+00:00,1000,3.9929,0,,-3992.9
2013-11-11 00:00:00+00:00,-1000,3.9031,0,,3903.1
2013-11-19 00:00:00+00:00,1000,3.963,0,,-3963.0
2013-11-25 00:00:00+00:00,-1000,3.9131,0,,3913.1
2013-11-26 00:00:00+00:00,1000,4.0129,0,,-4012.9
2013-12-03 00:00:00+00:00,-1000,3.963,0,,3963.0
2013-12-06 00:00:00+00:00,1000,4.0429,0,,-4042.9000000000005
2013-12-12 00:00:00+00:00,-1000,3.9929,0,,3992.9
2013-12-20 00:00:00+00:00,1000,3.963,0,,-3963.0
2013-12-24 00:00:00+00:00,-1000,3.9131,0,,3913.1
2013-12-26 00:00:00+00:00,1000,4.1028,0,,-4102.8
2014-08-21 00:00:00+00:00,-1000,4.522,0,,4522.0
2014-08-22 00:00:00+00:00,1000,4.6518,0,,-4651.799999999999
2014-08-28 00:00:00+00:00,-1000,4.552,0,,4552.0
2014-09-03 00:00:00+00:00,1000,4.6318,0,,-4631.8
2014-09-23 00:00:00+00:00,-1000,5.4504,0,,5450.400000000001
2014-09-26 00:00:00+00:00,1000,5.6899,0,,-5689.9
2014-10-09 00:00:00+00:00,-1000,5.6101,0,,5610.1
