date,amount,price,sid,symbol,value
2010-01-25 00:00:00+00:00,1000,10.3632,0,,-10363.2
2010-01-28 00:00:00+00:00,-1000,9.7562,0,,9756.199999999999
2010-02-02 00:00:00+00:00,1000,9.7372,0,,-9737.199999999999
2010-02-09 00:00:00+00:00,-1000,9.5791,0,,9579.1
2010-02-11 00:00:00+00:00,1000,9.851,0,,-9851.0
2010-02-24 00:00:00+00:00,-1000,9.655,0,,9655.0
2010-02-26 00:00:00+00:00,1000,9.9901,0,,-9990.1
2010-03-15 00:00:00+00:00,-1000,10.2127,0,,10212.7
2010-03-18 00:00:00+00:00,1000,10.4395,0,,-10439.5
2010-03-23 00:00:00+00:00,-1000,10.4795,0,,10479.5
2010-03-29 00:00:00+00:00,1000,10.5863,0,,-10586.3
2010-04-02 00:00:00+00:00,-1000,10.9732,0,,10973.2
2010-04-15 00:00:00+00:00,1000,10.8131,0,,-10813.1
2010-04-19 00:00:00+00:00,-1000,10.2594,0,,10259.4
2010-04-29 00:00:00+00:00,1000,9.3189,0,,-9318.9
2010-05-07 00:00:00+00:00,-1000,8.6985,0,,8698.5
2010-05-11 00:00:00+00:00,1000,9.2788,0,,-9278.800000000001
2010-05-19 00:00:00+00:00,-1000,9.1121,0,,9112.1
2010-05-21 00:00:00+00:00,1000,8.7719,0,,-8771.9
2010-05-24 00:00:00+00:00,-1000,9.1588,0,,9158.8
2010-05-25 00:00:00+00:00,1000,9.3322,0,,-9332.2
2010-05-27 00:00:00+00:00,-1000,9.0987,0,,9098.699999999999
2010-06-07 00:00:00+00:00,1000,8.6718,0,,-8671.8
2010-06-09 00:00:00+00:00,-1000,8.405,0,,8405.0
2010-06-10 00:00:00+00:00,1000,8.5251,0,,-8525.1
2010-06-29 00:00:00+00:00,-1000,9.0587,0,,9058.7
2010-07-07 00:00:00+00:00,1000,8.8605,0,,-8860.5
2010-07-16 00:00:00+00:00,-1000,9.1453,0,,9145.300000000001
2010-07-20 00:00:00+00:00,1000,9.491,0,,-9491.0
2010-07-23 00:00:00+00:00,-1000,9.6266,0,,9626.6
2010-07-26 00:00:00+00:00,1000,9.6944,0,,-9694.4
2010-07-28 00:00:00+00:00,-1000,9.5927,0,,9592.7
2010-07-29 00:00:00+00:00,1000,9.8096,0,,-9809.6
2010-08-04 00:00:00+00:00,-1000,9.7351,0,,9735.099999999999
2010-08-10 00:00:00+00:00,1000,9.6944,0,,-9694.4
2010-08-11 00:00:00+00:00,-1000,9.3758,0,,9375.8
2010-08-16 00:00:00+00:00,1000,9.2198,0,,-9219.8
2010-08-26 00:00:00+00:00,-1000,9.2741,0,,9274.1
2010-09-02 00:00:00+00:00,1000,9.3486,0,,-9348.599999999999
2010-09-03 00:00:00+00:00,-1000,9.2673,0,,9267.300000000001
2010-09-06 00:00:00+00:00,1000,9.2741,0,,-9274.1
2010-09-10 00:00:00+00:00,-1000,8.9826,0,,8982.6
2010-09-15 00:00:00+00:00,1000,9.0504,0,,-9050.4
2010-09-17 00:00:00+00:00,-1000,8.6978,0,,8697.800000000001
2010-09-21 00:00:00+00:00,1000,8.7588,0,,-8758.800000000001
2010-09-29 00:00:00+00:00,-1000,8.4809,0,,8480.9
2010-10-08 00:00:00+00:00,1000,8.8809,0,,-8880.9
2010-10-15 00:00:00+00:00,-1000,9.83,0,,9830.0
2010-10-18 00:00:00+00:00,1000,10.5418,0,,-10541.800000000001
2010-10-19 00:00:00+00:00,-1000,10.3384,0,,10338.4
2010-11-03 00:00:00+00:00,1000,10.0537,0,,-10053.699999999999
2010-11-10 00:00:00+00:00,-1000,10.135,0,,10135.0
2010-11-22 00:00:00+00:00,1000,9.0639,0,,-9063.9
2010-11-24 00:00:00+00:00,-1000,8.8944,0,,8894.4
2010-11-26 00:00:00+00:00,1000,9.1046,0,,-9104.6
2010-12-01 00:00:00+00:00,-1000,8.847,0,,8847.0
2010-12-03 00:00:00+00:00,1000,8.9758,0,,-8975.8
2010-12-10 00:00:00+00:00,-1000,8.8131,0,,8813.1
2010-12-15 00:00:00+00:00,1000,9.0165,0,,-9016.5
2010-12-17 00:00:00+00:00,-1000,8.9283,0,,8928.3
2010-12-22 00:00:00+00:00,1000,9.0232,0,,-9023.199999999999
2010-12-28 00:00:00+00:00,-1000,8.8266,0,,8826.599999999999
2011-01-04 00:00:00+00:00,1000,8.7521,0,,-8752.1
2011-01-17 00:00:00+00:00,-1000,8.8063,0,,8806.300000000001
2011-01-24 00:00:00+00:00,1000,8.6097,0,,-8609.7
2011-02-17 00:00:00+00:00,-1000,8.8944,0,,8894.4
2011-03-01 00:00:00+00:00,1000,8.7521,0,,-8752.1
2011-03-11 00:00:00+00:00,-1000,9.4368,0,,9436.8
2011-03-23 00:00:00+00:00,1000,9.3622,0,,-9362.199999999999
2011-03-29 00:00:00+00:00,-1000,9.6266,0,,9626.6
2011-04-07 00:00:00+00:00,1000,10.0334,0,,-10033.4
2011-04-12 00:00:00+00:00,-1000,10.1215,0,,10121.5
2011-04-15 00:00:00+00:00,1000,10.2977,0,,-10297.7
2011-04-19 00:00:00+00:00,-1000,10.1757,0,,10175.7
2011-04-27 00:00:00+00:00,1000,10.0062,0,,-10006.199999999999
2011-04-28 00:00:00+00:00,-1000,9.9181,0,,9918.1
2011-04-29 00:00:00+00:00,1000,9.9995,0,,-9999.5
2011-05-05 00:00:00+00:00,-1000,9.5046,0,,9504.6
2011-05-11 00:00:00+00:00,1000,9.613,0,,-9613.0
2011-05-13 00:00:00+00:00,-1000,9.43,0,,9430.0
2011-05-16 00:00:00+00:00,1000,9.4775,0,,-9477.5
2011-05-17 00:00:00+00:00,-1000,9.4097,0,,9409.7
2011-05-18 00:00:00+00:00,1000,9.4978,0,,-9497.8
2011-05-24 00:00:00+00:00,-1000,9.4029,0,,9402.900000000001
2011-05-31 00:00:00+00:00,1000,9.3622,0,,-9362.199999999999
2011-06-03 00:00:00+00:00,-1000,9.0029,0,,9002.9
2011-06-09 00:00:00+00:00,1000,8.9351,0,,-8935.1
2011-06-10 00:00:00+00:00,-1000,8.8634,0,,8863.4
2011-06-15 00:00:00+00:00,1000,8.9467,0,,-8946.7
2011-06-20 00:00:00+00:00,-1000,8.8634,0,,8863.4
